Name, Region, Type, Ownership, Location, Services, NHIS accredited
PHILOMENA'S MATERNITY HOME,Brong Ahafo Region,Maternity Home,rivate,SAMPA-ROAD  JAMDEDE BEREKUM,Antenatal  Post-natal,yes
PIENYINA CHPS COMPOUND,Brong Ahafo Region,CHPS Compound,overnment,PIENYINA  BOX 31  NKORANZA,General,yes
PINGLE'S MEDICAL LABORATORY,Brong Ahafo Region,Laboratory,rivate,NYAME BEKYERE-SAMPA ROAD,Laboratory,yes
PRANG HEALTH CENTRE,Brong Ahafo Region,Health Centre,overnment,PRANG-PRU,General,yes
PRECISE MEDICAL LAB SERVICE (ANNEX),Brong Ahafo Region,Laboratory,rivate,BEHIND DEBIBI Health Centre,Laboratory,yes
PRICISE MEDICAL LABORATORY SERVICE,Brong Ahafo Region,Laboratory,rivate,AMANGOASE OPP NAMASUA STATION,Laboratory,yes
RACHEL'S MATERNITY HOME,Brong Ahafo Region,Maternity Home,rivate,WAK/E072  OPP OLD METHODIST CHURCH,Antenatal  Post-natal,yes
RCH / DHD BEREKUM,Brong Ahafo Region,Health Centre,overnment,ATANOTIA BEREKUM-SUNYANI ROAD,General,yes
RCH ZONGO,Brong Ahafo Region,Health Centre,overnment,BEREKUM ZONGO,General,yes
RICHARD OFOSU AGYAPONG CHEMICAL SHOP,Brong Ahafo Region,Chemical Shop,rivate,H/NO (NEW SITE) FETE-AGYA MIM,Pharmacy,yes
RICHMAP ENTERPRISE,Brong Ahafo Region,CHEMICAL SHOP,rivate,H/NO SA 1/45 SANKORE,Pharmacy,yes
S.K NSIAH CHEMICAL SHOP,Brong Ahafo Region,Chemical Shop,rivate,GOASO-MIM MAIN STREET,Pharmacy,yes
SABIYE HEALTH CENTRE,Brong Ahafo Region,Health Centre,overnment,SABIE-BANDA,General,yes
SAMPA GOVERNMENT HOSPITAL,Brong Ahafo Region,Primary Hospital,overnment,HIGH STREET,General,yes
SANKORE HEALTH CENTRE,Brong Ahafo Region,Health Centre,overnment,SANKORE,General,yes
SAVIOUR  CLINIC,Brong Ahafo Region,Clinic,rivate,KOFI ASUA ROAD,General,yes
SAVIOURS MATERNITY HOME,Brong Ahafo Region,Maternity Home,rivate,OFF ADIOKOR RD,Antenatal  Post-natal,yes
SDA HOSPITAL,Brong Ahafo Region,Primary Hospital,ission,FIAPRE,General,yes
SEIKWA HEALTH CENTRE,Brong Ahafo Region,Health Centre,overnment,SEIKWA,General,yes
SEKETIA HEALTH CENTRE,Brong Ahafo Region,CHPS Compound,overnment,SEKETIA,General,yes
SENE DISTRICT HOSPITAL,Brong Ahafo Region,Primary Hospital,overnment,SENE,General,yes
SENTI CHEMIST,Brong Ahafo Region,Pharmacy,rivate,GRAPHIC RD OPP GH COM BANK,Pharmacy,yes
SETH KUMIH CHEMICALS,Brong Ahafo Region,Chemical Shop,rivate,OPPOSITE CHIRAA Health Centre,Pharmacy,yes
SIENCHEM RURAL CLINIC,Brong Ahafo Region,CHPS Compound,overnment,SIENCHEM,General,yes
SOY CHEMICAL,Brong Ahafo Region,Chemical Shop,rivate,OPP TUESDAY MARKET,Pharmacy,yes
ST ELIZABETH CATHOLIC HOSPITAL,Brong Ahafo Region,Primary Hospital,ission,HWIDIEM-GOASO ROAD/RC CHURCH,General,yes
ST ELIZABETH MATERNITY HOME,Brong Ahafo Region,Maternity Home,rivate,MIM,Antenatal  Post-natal,yes
ST JOHN OF GOD HOSPITAL,Brong Ahafo Region,Primary Hospital,ission,DUAYAW-NKWANTA,General,yes
ST MARY'S CATHOLIC HOSPITAL,Brong Ahafo Region,Primary Hospital,ission,MARKET AREA,General,yes
ST THERESA'S HOSPITAL,Brong Ahafo Region,Primary Hospital,ission,NKORANZA,General,yes
SUBINSO HEALTH CENTRE,Brong Ahafo Region,Health Centre,overnment,WENCHI,General,yes
SUBRISO CHPS COMPOUND,Brong Ahafo Region,CHPS Compound,overnment,SUBRISO-TECHIMANTIA SUB-DISTRICT,General,yes
SUMA PRESBY HEALTH CENTRE,Brong Ahafo Region,Health Centre,ission,SUMA KAABRE ROAD,General,yes
SUNKWA CLINIC,Brong Ahafo Region,Clinic,rivate,NWOASE KINTAMPO,General,yes
SUNTAH CLINIC,Brong Ahafo Region,Clinic,rivate,KWAME DANSO,General,yes
SUNYANI MUNICIPAL HOSPITAL,Brong Ahafo Region,Primary Hospital,overnment,SUNYANI,General,yes
SUNYANI REGIONAL HOSPITAL,Brong Ahafo Region,Secondary Hospital,overnment,NKWABENG,General,yes
TAIN DISTRICT HOSPITAL,Brong Ahafo Region,Primary Hospital,overnment,NSAWKAW  BOX 100,General,yes
TANOANAFO CHPS COMPOUND,Brong Ahafo Region,CHPS Compound,overnment,TANOANAFO VIA TECHIMAN,General,yes
TANOSO HEALTH CENTRE,Brong Ahafo Region,Health Centre,overnment,TANOSO,General,yes
TANOSO HEALTH CENTRE,Brong Ahafo Region,Health Centre,overnment,TANOSO,General,yes
TATO BATTOR CHPS COMPOUND,Brong Ahafo Region,CHPS Compound,overnment,TATO BATTOR,General,yes
TECHIMAN HEALTH CENTRE,Brong Ahafo Region,Health Centre,overnment,TECHIMAN,General,yes
TECHIMANTIA HEALTH CENTER,Brong Ahafo Region,Health Centre,overnment,TECHIMANTIA,General,yes
TEKESE CHPS COMPOUND,Brong Ahafo Region,CHPS Compound,overnment,TEKESE,General,yes
TEWUBABI/ABISASE RURAL CLINIC,Brong Ahafo Region,CHPS Compound,overnment,TEWBABI/ABISASE ADOM ROAD,General,yes
TUOBODOM HEALTH CENTRE,Brong Ahafo Region,Health Centre,overnment,TUOBODOM,General,yes
TWUM BARIMA CHEMICAL SHOP,Brong Ahafo Region,Chemical Shop,rivate,ABOTANSO,Pharmacy,yes
TWUMKROM CHPSZONE,Brong Ahafo Region,CHPS Compound,overnment,TWUMKROM,General,yes
VICTORIA ANANE MATERNITY HOME,Brong Ahafo Region,Maternity Home,rivate,AHENBRONUM,Antenatal  Post-natal,yes
VIDAS MATERNITY HOME,Brong Ahafo Region,Maternity Home,rivate,NYAMEMOAYEH-KUBEASE,Antenatal  Post-natal,yes
WAM ADJEMBRA CHPS COMPOUND,Brong Ahafo Region,CHPS Compound,overnment,NEAR KASAPIN  C/O BOX 27,General,yes
WAMANAFO COMMUNITY CLINIC,Brong Ahafo Region,Health Centre,overnment,WAMANAFO,General,yes
WAMFIE HEALTH CENTRE,Brong Ahafo Region,Health Centre,overnment,ON BEREKUM DORMAA ROAD,General,yes
WENCHI  HEALTH CENTER,Brong Ahafo Region,Health Centre,overnment,WENCHI,General,yes
WENCHI GOV'T MATERNITY HOME,Brong Ahafo Region,Maternity Home,overnment,WENCHI,Antenatal  Post-natal,yes
WILLIAM DARKWA CHEMICAL SHOP,Brong Ahafo Region,Chemical Shop,rivate,GOASO MAIN STREET,Pharmacy,yes
YAAKRO PRESBYTERIAN HEALTH CENTRE,Brong Ahafo Region,Health Centre,ission,YAAKROM,General,yes
YAMFO HEALTH CENTRE,Brong Ahafo Region,Health Centre,overnment,YAMFO,General,yes
YEBOAH CHRISTIAN OPTICAL CENTRE,Brong Ahafo Region,EYE Clinic(OPTICAL),rivate,BEREKUM SUNYANI ROAD OPP URBAN COUNCIL,,yes
YEFIRI HEALTH CENTRE,Brong Ahafo Region,Health Centre,overnment,YEFRI,General,yes
YIZURA HOSPITAL,Brong Ahafo Region,Clinic,rivate,SUNKWA,General,yes
ZABRAMA RURAL CLINIC,Brong Ahafo Region,CHPS Compound,overnment,ZABRAMA-PRU,General,yes
ZEZERA HEALTH CENTRE,Brong Ahafo Region,Health Centre,overnment,ZEZERA NEAR THE OLD CEMETERY,General,yes
ABAKRAMPA HEALTH CENTRE,Central Region,Health Centre,overnment,ABAKRAMPA,General,yes
ABEADZE DOMINASE HEALTH CENTER,Central Region,Health Centre,overnment,MANKESSIM-FOSU ROAD,General,yes
ABEYEE CHPS COMPOUND,Central Region,CHPS Compound,overnment,ABEYEE,General,yes
ABOABO CHPS COMPOUND,Central Region,CHPS Compound,overnment,ABOABO,General,yes
ABODOM HEALTH CENTRE,Central Region,Health Centre,overnment,AJUMAKO ROAD,General,yes
ABREM AGONA HEALTH CENTRE,Central Region,Health Centre,overnment,ABREM AGONA,General,yes
ABURA CLINIC,Central Region,Clinic,rivate,JUKWA ROAD -ABURA,General,yes
ABURA DUNKWA DISTRICT HOSPITAL,Central Region,Primary Hospital,overnment,ABURA DUNKW,General,yes
ABURA GYABANKROM CHPS ZONE,Central Region,CHPS Compound,overnment,GYABANKROM,General,yes
ABURA MEDICAL LABORATORY,Central Region,Laboratory,rivate,HSE NO 16 A JUKWA RD CAPE COAST,Laboratory,yes
ABURANSA CHPS,Central Region,CHPS Compound,overnment,ABURANSA,General,yes
ADADE KOFI CHPS COMPOUND,,CHPS Compound,overnment,ADADE KOFI  C/O DHD  BOX 5  TWIFO PRASO,General,yes
ADAWUKAO CHPS,,CHPS Compound,overnment,ADAWUKWAO  BAWJIASE H/C BOX 80 BAWJIASE,General,yes
ADISADEL HEALTH CENTRE,Central Region,Health Centre,overnment,ADISADEL,General,yes
ADOM-ARAKWA MATERNITY & CLINIC,Central Region,Maternity Home,rivate,OPPOSITE BAWJIASE HEALTH POST,Antenatal  Post-natal,yes
AFESI AGAMA MEMORIAL SCAN,,Clinic SCAN,rivate,ELMINA  P. O. BOX 148 ELMINA,General  Scan,yes
AGED CLINIC,,Health Centre,overnment,CAPECOAST  BOX 4 CAPECOAST,General,yes
AGONA MENSAKROM CHPS,Central Region,CHPS Compound,overnment,SWEDRU-ODA,General,yes
AGONA NSABA HEALTH CENTRE,Central Region,Health Centre,overnment,NSABA ESTATE,General,yes
AGYEMPOMAA CHPS ZONE,Central Region,CHPS Compound,overnment,DENKYIRA AGYEMPOMA,General,yes
AHAMAKROMBUA CHPS,Central Region,CHPS Compound,overnment,AHAMAKROMBUA,General,yes
AHMADIYYA MUSLIM MISSION HOSPITAL,,Primary Hospital,ission,YAABEM  BOX 24  AGONA SWEDRU Central,General,yes
AJUMAKO ABAASA HEALTH CENTRE,Central Region,Health Centre,overnment,OBIOKO STREET,General,yes
AJUMAKO ANYINASU CHPS,Central Region,CHPS Compound,overnment,BISEASE,General,yes
AJUMAKO BISEASE HEALTH CENTRE,Central Region,Health Centre,overnment,BISEASE,General,yes
AJUMAKO KROMAIM CHPS COMPOUND,,CHPS Compound,overnment,CEMETARY ROAD  C/O AJUMAKO BOX 68,General,yes
AKOTI HEALTH CENTRE,Central Region,Health Centre,overnment,ASSIN AKROPONG,General,yes
AKOTOKYIRE CHPS ZONE,Central Region,CHPS Compound,overnment,AKOTOKYIR,General,yes
AKRABON CHPS ZONE,Central Region,CHPS Compound,overnment,BONTRASE ROAD,General,yes
ALL AID PHARMACY,Central Region,pharmacy,rivate,COLOMBA STREET  KASOA,general services     pharmacy      ,no
ALL AID PHARMACY,Central Region,pharmacy,rivate,COLOMBA STREET  KASOA,general services     pharmacy  pediatrics    ,no
AMANFOPONG CHPS ZONE,Central Region,CHPS Compound,overnment,BREMAN AMANFOPONG,General,yes
AMOABIN CHPS,Central Region,CHPS Compound,overnment,AMOABIN,General,yes
AMOAMAN CHPS COMPOUND,,CHPS Compound,overnment,AMOAMAN  C/O GH DIASO,General,yes
AMOSIMA CHPS ZONE,Central Region,CHPS Compound,overnment,AMOSIMA,General,yes
ANDREA BROWNING CLINIC,Central Region,Clinic,rivate,GOMOA-FETTEH CAMPUS,General,yes
ANKAFUL LEPROSY/GENERAL HOSPITAL,Central Region,Primary Hospital,overnment,ANKAFUL-ELMINA ROAD,General,yes
ANKAFUL PSYCHIATRIC HOSPITAL,Central Region,Primary Hospital,overnment,ANKAFUL,General,yes
ANNS MATERNITY HOME,Central Region,Maternity Home,rivate,ODUMKWEKU BEHIND CATHOLIC JSS,Antenatal  Post-natal,yes
ANOMABO HEALTH CENTER,Central Region,Health Centre,overnment,ANOMABO,General,yes
ANTSEAMBUA CHPS ZONE,Central Region,CHPS Compound,overnment,ANTSEAMBUA,General,yes
ANWIAM CHPS ZONE,Central Region,CHPS Compound,overnment,BREMAN ANHWIAM,General,yes
ANWIANWIA CHPS COMPOUND,,CHPS Compound,overnment,ANHWIAWIA  C/O GHS BOX 15,General,yes
ANYINABIRIM HEALTH CENTRE,Central Region,Health Centre,overnment,ASSIN ANYINABRIM,General,yes
ASAFO HEALTH CENTRE,Central Region,Health Centre,overnment,JEJEWASE,General,yes
ASEIBU CHPS COMPOUND,Central Region,CHPS Compound,overnment,NEW SITE,General,yes
ASHGIN PHARMACY,Central Region,Pharmacy,rivate,HNO. 21 A/PV PEDO ESTATE JUNCTION,Pharmacy,yes
ASHGIN PHARMACY-ANNEX,Central Region,Pharmacy,rivate,BEHIND OGUAA HAA  APENOSIKA UCC,Pharmacy,yes
ASIKUMA CHPS ZONE,Central Region,CHPS Compound,overnment,SENKYIRA ASIKUMA,General,yes
ASMA CHPS COMPOUND,,CHPS Compound,overnment,KYEKYEWERE/ASMA CAMP  BOX 49 DUNKWA ON OFFIN,General,yes
ASOMDWEE CHPS ZONE,Central Region,CHPS Compound,overnment,ASOMDWEE,General,yes
ASSIN AWISEM CHPS ZONE,Central Region,CHPS Compound,overnment,AWISEM,General,yes
ASSIN BEREKU HEALTH CENTRE,Central Region,Health Centre,overnment,ASSIN BEREKU,General,yes
ASSIN JAKAI HEALTH CENTRE,Central Region,Health Centre,overnment,ASSIN JAKAI,General,yes
ASSIN KUMASI CHPS COMPOUND,,CHPS Compound,overnment,ASSIN KUMASI  C/O BOX 69  FANTENYANKOMAFI,General,yes
ASSIN MANSO HEALTH CENTRE,Central Region,Health Centre,overnment,NEAR NATIONAL HEALTH INSURANCE,General,yes
ASSIN ONGWA HEALTH CENTRE,Central Region,Health Centre,overnment,FOSU-TWIFO PRASO 921 KM FROM FOSU),General,yes
ASUANSI RURAL CLINIC,Central Region,Health Centre,overnment,ASUANSI,General,yes
ATONKWA CHPS ZONE,Central Region,CHPS Compound,overnment,ANKAFUL PRISON STREET,General,yes
AWUTU AHENTIA CHPS COMPOUND,,CHPS Compound,overnment,AHENTIA  BOX 45 SENYA,General,yes
AWUTU HEALTH CENTRE,Central Region,Health Centre,overnment,AWUTU BREKU,General,yes
AYELDU CHPS ZONE,Central Region,CHPS Compound,overnment,AYELDU,General,yes
BAIDEN GHARTEY MEMORIAL MEDICAL CENTRE,Central Region,Primary Hospital,rivate,WEST PEDU,General,yes
BANDO HAN MEDICAL CENTRE,,Health Centre,overnment,ABIREM AGONA STREET  BOX EL 74  ELIMINA,General,yes
BAOBAB MEDICAL CENTRE,Central Region,Health Centre,overnment,BIRIWA,General,yes
BAWJIASE HEALTH CENTER,Central Region,Health Centre,overnment,BAWJIASE,General,yes
BEDIADUA HEALTH CENTRE,Central Region,Health Centre,overnment,ASSIN BEDIADUA,General,yes
BEDUM COMMUNITY CLINIC,Central Region,CHPS Compound,overnment,BREMAN BEDUM COMMUNITY,General,yes
BENYADZI CHPS ZONE,Central Region,CHPS Compound,overnment,ELMINA,General,yes
BEREASE CHPS ZONE,Central Region,CHPS Compound,overnment,ELMINA,General,yes
BETHEL MATERNITY HOME,Central Region,Maternity Home,rivate,COMMERCIAL ROAD BEHIND ANGLICAN SCH,Antenatal  Post-natal,yes
BETHEL NYAME CHEMICAL SHOP,Central Region,Chemical Shop,rivate,JUKWA-ZONGO,Pharmacy,yes
BISHOP ACKON MEMORIAL EYE CENTRE,Central Region,EYE Clinic,rivate,NORTH WEST ADISADEL CAPECOAST,Eye care,yes
BOAKYE ANSAH PHARMACY,,Pharmacy,rivate,KOTOKURABA  BOX AD 592,Pharmacy,yes
BOBIKUMA HEALTH CENTRE,Central Region,Health Centre,overnment,UPPER BOBIKUMA-AJUMAKO ROAD,General,yes
BONTRESO HEALTH CENTRE,Central Region,Health Centre,overnment,OBRAKYERE,General,yes
BRAKWA HEALTH CENTRE,Central Region,Health Centre,overnment,BRAKWA,General,yes
BREMAN AYIPEY CHPS COMPOUND,,CHPS Compound,overnment,BREMANNANKESE,General,yes
BRIMSO CHPS ZONE,Central Region,CHPS Compound,overnment,NYAMEBEKYERE,General,yes
BROFOYEDURU CHPS ZONE,Central Region,CHPS Compound,overnment,BROFOYEDUR,General,yes
BUABIN CHPS ZONE,Central Region,CHPS Compound,overnment,DENKYIRA BUABIN,General,yes
BUDUATTA HEALTH CENTRE,Central Region,Health Centre,overnment,BUDUATTA STREET,General,yes
CAPE COAST METROPOLITAN HOSPITAL,Central Region,Primary Hospital,overnment,CAPE COAST,General,yes
CAPE COAST RCH,Central Region,CHPS Compound,overnment,ABUOM-RED CROSS SOCIETY,General,yes
CATHOLIC HOSPITAL,Central Region,Primary Hospital,ission,APAM  MUMFORD ROAD/MAMFAM,General,yes
CECILIA & SAMMY MEMORIAL CLINIC/MATERNITY,Central Region,Maternity Home,rivate,MEMEPEASEM ASSIN FOSO,Antenatal  Post-natal,yes
CECILIA MATERNITY HOME,Central Region,Maternity Home,rivate,CARNELLY ROAD,Antenatal  Post-natal,yes
CENTRAL KASOA CLINIC,Central Region,Clinic,rivate,KASOA-BAWJIASE ROAD,General,yes
CENTRALAL HOSPITAL,Central Region,Secondary Hospital,overnment,PEDU,General,yes
CHRISTY'S MATERNITY HOME,Central Region,Maternity Home,rivate,BEHIND PWD ACCRA-WINNEBA ROAD AWUTU BEREKU,Antenatal  Post-natal,yes
COAST FOR CHRIST BAPTIST HOSPITAL,Central Region,Primary Hospital,ission,ESUEKYIR STREET,General,yes
CONNIES CLINIC &MATERNITY; HOME,Central Region,Maternity Home,rivate,OBOM ROAD,Antenatal  Post-natal,yes
DANKESS PHARMACY,Central Region,Pharmacy,rivate,HNO. 11  F4 WINNEBA TOWN HALL(AES),Pharmacy,yes
DASUM CHPS COMPOUND,,CHPS Compound,overnment,AFRANSIE  P. O. BOX 42,General,yes
DERGEWA MATERNITY HOME,Central Region,Maternity Home,rivate,ANKYEASE FORMER SSNIT,Antenatal  Post-natal,yes
DIASO HEALTH CENTRE,Central Region,Health Centre,overnment,DIASO,General,yes
DUNKWA MUNICIPAL HOSPITAL,Central Region,Primary Hospital,overnment,Central POLICE STATION,General,yes
DYNEX MEDICAL SERVICES LTD,Central Region,Laboratory,rivate,AGONA KWANYAKO,Laboratory,yes
EBUAKWA COMMUNITY CLINIC,Central Region,CHPS Compound,overnment,EKUMFI EBUAKWA,General,yes
EDUMAFA CHPS COMPOUND,Central Region,CHPS Compound,overnment,EDUMAFA,General,yes
EFUTU CHPS,Central Region,CHPS Compound,overnment,EFUTU  JUKWA ROAD,General,yes
EKON CHPS ZONE,Central Region,CHPS Compound,overnment,EWIM,General,yes
EKRAWFOL CHPS ZONE,Central Region,CHPS Compound,overnment,EKUMFI EKRAWOL,General,yes
EKUKROM CHPS COMPOUND,,CHPS Compound,overnment,EKUKROM NEAR EKUMASE  BOX 69,General,yes
EKUMPOANO CHPS COMPOUND,Central Region,CHPS Compound,overnment,EKUMPOANO,General,yes
EKWAMASE CHPS COMPOUND,,CHPS Compound,overnment,EKUAMASE  C/O BOX 68  AJUMAKO,General,yes
EKWAMKROM CHPS COMPOUND,Central Region,CHPS Compound,overnment,ODUMASI EKWAMKROM,General,yes
EL-SHADDAI MATERNITY HOME,Central Region,Maternity Home,rivate,SALEM,Antenatal  Post-natal,yes
ELMINA URBAN HEALTH CENTRE,Central Region,Health Centre,overnment,TAKORADI HIGHWAY/TETREM,General,yes
ENDWA CHPS,Central Region,CHPS Compound,overnment,ENDWA,General,yes
ENYAN ABASA HEALTH CENTRE,Central Region,Health Centre,overnment,OBIOKO STREET,General,yes
ENYAN MAIM CHPS COMPOUND,,CHPS Compound,overnment,ADJUMAKO  BOX 1 ENYAN MAIN,General,yes
ENYAN NKODWO CHPS,Central Region,CHPS Compound,overnment,ENYAN NKODWO,General,yes
ENYAN OBONTSER CHPS ZONE,Central Region,CHPS Compound,overnment,ENYAN OBONTSER,General,yes
ESSUEHYIA HEALTH CENTRE,Central Region,Health Centre,overnment,ESSUEHYIA,General,yes
ETSII SONKWA COMMUNITY CLINIC,Central Region,CHPS Compound,overnment,ETSII SONKWA,General,yes
EWIM URBAN HEALTH CENTRE,Central Region,Health Centre,overnment,EWIM,General,yes
EYISAM CHPS COMPOUND,,CHPS Compound,overnment,ON THE MAIN  ACCRA-MANKESSIM HIGHWAY  C/O MOH/GHS,General,yes
FEGRACE MEDICAL DIAGNOSTIC CENTRE,,Laboratory,rivate,OPPOSITE SNNIT  AT THE BACK OF FORESTRY  BOX 5. ASSIN FOSO,Laboratory,yes
FIFTH GENERATION PHARMACY,,Pharmacy,rivate,SARBA ROAD TANTRI CAPE COAST  BOX 1515 CAPE COAST,Pharmacy,yes
FOMENA CHPS COMPOUND,Central Region,CHPS Compound,overnment,GOMOA FOMENA,General,yes
FOSU SUB MUNICIPAL HEALTH CENTRE,Central Region,CHPS Compound,overnment,HABITAT STREET BEHIND THE DISTRICT ASSEMBLY HALL,General,yes
FRAMI HEALTH CENTRE,Central Region,Health Centre,overnment,CAPE COAST-TWIFO PRASO RD,General,yes
FYNBA HOSPITAL,Central Region,Primary Hospital,rivate,5 BLK 4C NEW NKUSUKUM MANKSEEIM,General,yes
GABDYS DIAGNOSTIC CENTRE,Central Region,Laboratory,rivate,MANKESSIM MARKET ROAD /ADJACENT IRS OFFICE,Laboratory,yes
GLOSTEVE PHARMACY,Central Region,Pharmacy,rivate,2 BLK 274 MANKESSIM ROUNDABOUT,Pharmacy,yes
GODFREY MEMORIAL MATERNITY HOME,Central Region,Maternity Home,rivate,KASOA MANKESSIM,Antenatal  Post-natal,yes
GODS GIFT MATERNITY HOME &CLINIC;,Central Region,Maternity Home,rivate,AJUMAKO-ESSUEHYIA RD OPP SCHOOL PARK,Antenatal  Post-natal,yes
GOMOA ABASA CHPS,Central Region,CHPS Compound,overnment,GOMOA ABASA,General,yes
GOMOA ASSIN CHPS COMPOUND,Central Region,CHPS Compound,overnment,ASSIN,General,yes
GOMOA ESHIEM CHPS,Central Region,CHPS Compound,overnment,ESHIEM,General,yes
GOMOA FETTEH CHPS,Central Region,CHPS Compound,overnment,GOMOAH FETTEH,General,yes
GOMOA OBUASI CHPS,Central Region,CHPS Compound,overnment,GOMOA OBUASI,General,yes
GOMOA OGUAA HEALTH CENTRE,Central Region,Health Centre,overnment,GOMOA OGUAA,General,yes
GOMOA OSEDZE,Central Region,CHPS Compound,overnment,OSEDZE/GOMOA DAWURAMPONG,General,yes
GOMOA SAMPA CHPS,Central Region,CHPS Compound,overnment,BROFO JUNCTION,General,yes
GOMOA TARKWA CHPS,Central Region,CHPS Compound,overnment,GOMOA TARKWA,General,yes
GOOD SHEPHERD MATERNITY HOME,Central Region,Maternity Home,rivate,NEAR ETSIAPA MEMORIAL PRIM SCH,Antenatal  Post-natal,yes
GYABANKROM CHPS COMPOUND,Central Region,CHPS Compound,overnment,GYABANKROM,General,yes
GYANGYANADZE CHPS COMPOUND,Central Region,CHPS Compound,overnment,WINNENA,General,yes
HIS COMFORT CHEMICAL SHOP,Central Region,Chemical Shop,rivate,APPIAH KWAA C62B,Pharmacy,yes
HOLY FAMILY MATERNITY HOME,Central Region,Maternity Home,rivate,NYANYANU ROAD KASOA,Antenatal  Post-natal,yes
HONSAL PHARMACY,Central Region,Pharmacy,rivate,G79/2 GOV ROWE ROAD,Pharmacy,yes
HY LIFE SCIENCES DIAGNOSTICS SERVICES,Central Region,Diagnostic Centre,rivate,OPPOSITE UCC PRIMARY SCHOOL,Diagnostic,yes
IMBRAIM CHPS ZONE,Central Region,CHPS Compound,overnment,DUNKWA-ON-OFFIN,General,yes
IMMUNA CHPS COMPOUND,,CHPS Compound,overnment,DHD  BOX 29,General,yes
J A BAIDOO CHEMICAL SHOP LTD,Central Region,Chemical Shop,rivate,OPPOSITE LUMUMBA NITE CLUB,Pharmacy,yes
JAMRA CHPS COMPOUND,Central Region,CHPS Compound,overnment,BREMAN JAMRA AHENBROM,General,yes
JESUS OF NAZARETH MEDICAL CENTER,Central Region,Clinic,rivate,C/POLY ROAD HARRIS JUNCTION,General,yes
JOEPAT SAVIOUR MEDILAB,Central Region,Laboratory,rivate,NEAR THE ROUND ABOUT,Laboratory,yes
JOEPAT SAVIOUR MEDILAB,Central Region,Laboratory,rivate,OPPOSITE FOSO MARKET,Laboratory,yes
JOEPAT SAVIOUR MEDILAB,Central Region,clinic,rivate,NEAR COMMERCIAL BANK,General,yes
JOEPAT SAVIOUR MEDILAB,,Diagnostic Centre,rivate,OPPOSITE COMMERCIAL BANK  AB 39  ABURA DUNKWA,Diagnostic,yes
JUBILEE HEALTH CENTRE,Central Region,Health Centre,overnment,MANKESSIM,General,yes
JUCAD PHARMACY,,Pharmacy,rivate,OPPOSITE OLD KASOA MARKET  BOX O.K 247 KASOA,Pharmacy,yes
JUKWA HEALTH CENTRE,Central Region,Health Centre,overnment,AMANSIE ROAD,General,yes
JUKWA KROBO CHPS,Central Region,CHPS Compound,overnment,JUKWA KROBO,General,yes
JUSTUB HOSPITAL,Central Region,Primary Hospital,rivate,KASOA-WINNEBA ROAD,General,yes
K.E SAM QUAINOO CHEMICAL SHOP,Central Region,Chemical Shop,rivate,MANGOASE STREET A/DUNKWA,Pharmacy,yes
KASOA HEALTH CENTRE,Central Region,Health Centre,overnment,KASOA,General,yes
KAYIREKU CHPS ZONE,Central Region,CHPS Compound,overnment,KAYIRE,General,yes
KENNETH KUFFUOR LICENCED CHEMICAL SHOP,Central Region,Chemical Shop,rivate,ELMINA OLD POST OFFICE,Pharmacy,yes
KINGSLEY R. DADZIE LICENSED CHEMICAL SHOP,Central Region,Chemical Shop,rivate,FZA 2/8 ZONGO WANGARA LINE NEAR MOSQUE,Pharmacy,yes
KISSI HEALTH CENTRE,Central Region,Health Centre,overnment,KISSI,General,yes
KLIMOVIC MEMORIAL HOSPITAL,Central Region,Clinic,rivate,NYANKOFAM  MAIN ROAD TO WINNEBA TOWN,General,yes
KOMENDA HEALTH CENTRE,Central Region,Health Centre,overnment,KOMENDA,General,yes
KORMANTSE CHPS COMPOUND,Central Region,CHPS Compound,overnment,KORMANTSE,General,yes
KOTOKYE CHPS COMPOUND,,CHPS Compound,overnment,KOTOKYE  C/O DHD BOX 5,General,yes
KUSHEA HEALTH CENTRE,Central Region,Health Centre,overnment,KUSHEA,General,yes
KWAMANKESSE CHPS ZONE,Central Region,CHPS Compound,overnment,KWAMAN,General,yes
KWANYAKO HEALTH CENTRE,Central Region,Health Centre,overnment,SWEDRU-BAWJIASE ROAD,General,yes
KWANYARKO CHPS,Central Region,CHPS Compound,overnment,AJ KWANYAKO,General,yes
KYEKYEWERE HEALTH CENTRE,Central Region,Health Centre,overnment,DUNKWA ON OFFIN,General,yes
LAB MEDICS DIAGNOSTIC,Central Region,Laboratory,rivate,KASOA BAWJIASE ROAD,Laboratory,yes
MANDO COMMUNITY CLINIC,,Health Centre,overnment,MANDO  BOX 68  AJUMAKO,General,yes
MANKRONG COMMUNITY CLINIC,Central Region,CHPS Compound,overnment,SWEDRU-ASAMANKESE ROAD,General,yes
MARGO MATERNITY HOME & CLINIC,Central Region,Maternity Home,rivate,BUDUBURAM GOMOA,Antenatal  Post-natal,yes
MEDISCAN DIAGNOSTIC CLINIC SERVICES,Central Region,Clinic,rivate,ASSIN FOSU,General,yes
MEDS PHARMACY,Central Region,Pharmacy,rivate,KOTOKURABA RD HSE NO. D 10/3 CAPE COAST,Pharmacy,yes
MENSAKROM COMM CLINIC,Central Region,CHPS Compound,overnment,SWEDRU-ODA ROAD,General,yes
MERCY WOMENS CENTRE,Central Region,Health Centre,ission,MANKESSIM,General,yes
MEYENDA CHPS ZONE,Central Region,CHPS Compound,overnment,MAYENDA,General,yes
